Id,OrderID,OrderDate,ShipDate,ShipMode,CustomerID,CustomerName,Segment,State,PostalCode,Region,ProductID,Category,ProductName,Sales,Quantity
4938,CA-2014-157147,2014-01-13,2014-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,California,94109,West,OFF-ST-10000078,Office Supplies,Tennsco 6- and 18-Compartment Lockers,1325.85,5
4939,CA-2014-157147,2014-01-13,2014-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,California,94109,West,FUR-BO-10003034,Furniture,"O'Sullivan Elevations Bookcase, Cherry Finish",334,3
4940,CA-2014-157147,2014-01-13,2014-01-18,Standard Class,BD-11605,Brian Dahlen,Consumer,California,94109,West,OFF-AR-10003514,Office Supplies,4009 Highlighters by Sanford,19.9,5
9629,CA-2014-118192,2014-01-13,2014-01-18,Standard Class,MM-17920,Michael Moore,Consumer,Ohio,43055,East,OFF-PA-10002947,Office Supplies,Xerox 1923,37.41,7
9630,CA-2014-118192,2014-01-13,2014-01-18,Standard Class,MM-17920,Michael Moore,Consumer,Ohio,43055,East,OFF-BI-10003476,Office Supplies,Avery Metallic Poly Binders,3.44,2
6475,CA-2014-149524,2014-01-14,2014-01-15,First Class,BS-11590,Brendan Sweed,Corporate,Pennsylvania,19140,East,FUR-BO-10003433,Furniture,Sauder Cornerstone Collection Library,61.96,4
1914,CA-2014-103366,2014-01-15,2014-01-17,First Class,EH-13990,Erica Hackney,Consumer,Georgia,30076,South,TEC-AC-10003628,Technology,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,149.95,5
971,CA-2014-115791,2014-01-16,2014-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,Pennsylvania,19134,East,FUR-FU-10001095,Furniture,DAX Black Cherry Wood-Tone Poster Frame,127.1,6
972,CA-2014-115791,2014-01-16,2014-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,Pennsylvania,19134,East,TEC-PH-10004614,Technology,AT&T 841000 Phone,124.2,3
973,CA-2014-115791,2014-01-16,2014-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,Pennsylvania,19134,East,OFF-BI-10001575,Office Supplies,GBC Linen Binding Covers,18.59,2
974,CA-2014-115791,2014-01-16,2014-01-18,Second Class,DL-13315,Delfina Latchford,Consumer,Pennsylvania,19134,East,OFF-LA-10001074,Office Supplies,Round Specialty Laser Printer Labels,30.07,3
5365,CA-2014-123477,2014-01-18,2014-01-21,Second Class,DW-13195,David Wiener,Corporate,Oregon,97477,West,OFF-AP-10000692,Office Supplies,Fellowes Mighty 8 Compact Surge Protector,64.86,4
5463,CA-2014-146591,2014-01-19,2014-01-20,First Class,TS-21340,Toby Swindell,Consumer,Arizona,85254,West,OFF-BI-10003676,Office Supplies,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",32.34,10
5464,CA-2014-146591,2014-01-19,2014-01-20,First Class,TS-21340,Toby Swindell,Consumer,Arizona,85254,West,OFF-PA-10000659,Office Supplies,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",56.06,4
5465,CA-2014-146591,2014-01-19,2014-01-20,First Class,TS-21340,Toby Swindell,Consumer,Arizona,85254,West,OFF-EN-10002504,Office Supplies,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",108.72,5
5466,CA-2014-146591,2014-01-19,2014-01-20,First Class,TS-21340,Toby Swindell,Consumer,Arizona,85254,West,FUR-BO-10001972,Furniture,O'Sullivan 4-Shelf Bookcase in Odessa Pine,181.47,5
1122,US-2014-147627,2014-01-20,2014-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,Arkansas,72401,South,TEC-PH-10001061,Technology,Apple iPhone 5C,699.93,7
1123,US-2014-147627,2014-01-20,2014-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,Arkansas,72401,South,OFF-AR-10002375,Office Supplies,Newell 351,22.96,7
1124,US-2014-147627,2014-01-20,2014-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,Arkansas,72401,South,FUR-FU-10003194,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",38.6,4
1125,US-2014-147627,2014-01-20,2014-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,Arkansas,72401,South,OFF-AR-10003811,Office Supplies,Newell 327,6.63,3
1126,US-2014-147627,2014-01-20,2014-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,Arkansas,72401,South,OFF-EN-10001539,Office Supplies,Staple envelope,23.34,3
1127,US-2014-147627,2014-01-20,2014-01-26,Standard Class,HL-15040,Hunter Lopez,Consumer,Arkansas,72401,South,FUR-CH-10002331,Furniture,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,1067.94,3
5737,CA-2014-148614,2014-01-20,2014-01-25,Standard Class,MV-17485,Mark Van Huff,Consumer,California,90049,West,OFF-PA-10002893,Office Supplies,"Wirebound Service Call Books, 5 1/2"" x 4""",19.36,2
5738,CA-2014-148614,2014-01-20,2014-01-25,Standard Class,MV-17485,Mark Van Huff,Consumer,California,90049,West,FUR-FU-10003194,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,2
6327,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,Michigan,48185,Central,OFF-ST-10000760,Office Supplies,Eldon Fold 'N Roll Cart System,13.98,1
6328,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,Michigan,48185,Central,FUR-FU-10002918,Furniture,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,272.94,3
6329,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,Michigan,48185,Central,OFF-BI-10000605,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",19.05,5
6330,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,Michigan,48185,Central,OFF-AP-10002311,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",247.72,4
6331,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,Michigan,48185,Central,OFF-ST-10003123,Office Supplies,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,66.58,2
6332,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,Michigan,48185,Central,OFF-AR-10004456,Office Supplies,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3
6333,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,Michigan,48185,Central,FUR-FU-10002268,Furniture,Ultra Door Push Plate,14.73,3
6334,CA-2014-167927,2014-01-20,2014-01-26,Standard Class,XP-21865,Xylona Preis,Consumer,Michigan,48185,Central,OFF-BI-10004364,Office Supplies,Storex Dura Pro Binders,29.7,5
7121,US-2014-147774,2014-01-20,2014-01-26,Standard Class,MM-18280,Muhammed MacIntyre,Corporate,Tennessee,37167,South,OFF-BI-10003091,Office Supplies,GBC DocuBind TL200 Manual Binding Machine,67.19,1
9990,CA-2014-110422,2014-01-21,2014-01-23,Second Class,TB-21400,Tom Boeckenhauer,Consumer,Florida,33180,South,FUR-FU-10001889,Furniture,Ultra Door Pull Handle,25.25,3
9156,CA-2014-102645,2014-01-23,2014-01-28,Standard Class,IM-15055,Ionia McGrath,Consumer,Nevada,89115,West,OFF-PA-10001804,Office Supplies,Xerox 195,40.08,6
9887,CA-2014-146997,2014-01-23,2014-01-27,Standard Class,SG-20605,Speros Goranitis,Consumer,Indiana,47905,Central,OFF-FA-10003467,Office Supplies,"Alliance Big Bands Rubber Bands, 12/Pack",5.94,3
2579,US-2014-155502,2014-01-26,2014-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,Virginia,22304,South,FUR-FU-10004587,Furniture,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",62.82,3
2580,US-2014-155502,2014-01-26,2014-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,Virginia,22304,South,OFF-ST-10004337,Office Supplies,"SAFCO Commercial Wire Shelving, 72h",489.92,8
2581,US-2014-155502,2014-01-26,2014-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,Virginia,22304,South,OFF-PA-10003072,Office Supplies,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",19.44,3
2582,US-2014-155502,2014-01-26,2014-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,Virginia,22304,South,OFF-PA-10000380,Office Supplies,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",16.68,2
2583,US-2014-155502,2014-01-26,2014-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,Virginia,22304,South,TEC-PH-10004833,Technology,Macally Suction Cup Mount,155.35,13
2584,US-2014-155502,2014-01-26,2014-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,Virginia,22304,South,FUR-FU-10001847,Furniture,Eldon Image Series Black Desk Accessories,12.42,3
2585,US-2014-155502,2014-01-26,2014-01-31,Standard Class,SD-20485,Shirley Daniels,Home Office,Virginia,22304,South,TEC-PH-10002103,Technology,Jabra SPEAK 410,187.98,2
8150,CA-2014-167997,2014-01-26,2014-01-29,First Class,CA-11965,Carol Adams,Corporate,South Dakota,57701,Central,OFF-BI-10001758,Office Supplies,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,10.68,2
8151,CA-2014-167997,2014-01-26,2014-01-29,First Class,CA-11965,Carol Adams,Corporate,South Dakota,57701,Central,FUR-BO-10004409,Furniture,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",141.96,2
3795,US-2014-117163,2014-01-27,2014-02-02,Standard Class,EJ-13720,Ed Jacobs,Consumer,California,92037,West,OFF-ST-10003692,Office Supplies,Recycled Steel Personal File for Hanging File Folders,57.23,1
3796,US-2014-117163,2014-01-27,2014-02-02,Standard Class,EJ-13720,Ed Jacobs,Consumer,California,92037,West,FUR-TA-10003469,Furniture,Balt Split Level Computer Training Table,333,3
3797,US-2014-117163,2014-01-27,2014-02-02,Standard Class,EJ-13720,Ed Jacobs,Consumer,California,92037,West,OFF-AR-10003179,Office Supplies,Dixon Ticonderoga Core-Lock Colored Pencils,36.44,4
3084,CA-2014-100328,2014-01-28,2014-02-03,Standard Class,JC-15340,Jasper Cacioppo,Consumer,New York,10024,East,OFF-BI-10000343,Office Supplies,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",3.93,1
6388,CA-2014-134103,2014-01-30,2014-02-04,Standard Class,MV-18190,Mike Vittorini,Consumer,Michigan,48234,Central,OFF-PA-10001204,Office Supplies,Xerox 1972,10.56,2
6389,CA-2014-134103,2014-01-30,2014-02-04,Standard Class,MV-18190,Mike Vittorini,Consumer,Michigan,48234,Central,OFF-ST-10000991,Office Supplies,Space Solutions HD Industrial Steel Shelving.,229.94,2
3366,CA-2014-115161,2014-01-31,2014-02-02,First Class,LC-17050,Liz Carlisle,Consumer,California,92691,West,FUR-BO-10003966,Furniture,"Sauder Facets Collection Library, Sky Alder Finish",290.67,2
541,CA-2014-140795,2014-02-01,2014-02-03,First Class,BD-11500,Bradley Drucker,Consumer,Wisconsin,54302,Central,TEC-AC-10001432,Technology,Enermax Aurora Lite Keyboard,468.9,6
1704,CA-2014-139857,2014-02-02,2014-02-06,Standard Class,CD-12790,Cynthia Delaney,Home Office,California,92037,West,OFF-FA-10001843,Office Supplies,Staples,12.35,5
9138,CA-2014-123400,2014-02-02,2014-02-09,Standard Class,EB-13930,Eric Barreto,Consumer,Florida,33710,South,OFF-BI-10000666,Office Supplies,Surelock Post Binders,18.34,2
9139,CA-2014-123400,2014-02-02,2014-02-09,Standard Class,EB-13930,Eric Barreto,Consumer,Florida,33710,South,TEC-PH-10002890,Technology,AT&T 17929 Lendline Telephone,180.96,5
1518,CA-2014-111059,2014-02-03,2014-02-06,Second Class,TB-21400,Tom Boeckenhauer,Consumer,Washington,98105,West,OFF-BI-10004593,Office Supplies,Ibico Laser Imprintable Binding System Covers,83.84,2
1519,CA-2014-111059,2014-02-03,2014-02-06,Second Class,TB-21400,Tom Boeckenhauer,Consumer,Washington,98105,West,OFF-BI-10002827,Office Supplies,Avery Durable Poly Binders,13.27,3
1544,CA-2014-107181,2014-02-04,2014-02-08,Standard Class,DB-13270,Deborah Brumfield,Home Office,California,92024,West,OFF-BI-10004230,Office Supplies,GBC Recycled Grain Textured Covers,82.9,3
1545,CA-2014-107181,2014-02-04,2014-02-08,Standard Class,DB-13270,Deborah Brumfield,Home Office,California,92024,West,OFF-PA-10000350,Office Supplies,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",34.24,4
8585,CA-2014-104808,2014-02-04,2014-02-08,Second Class,MH-17440,Mark Haberlin,Corporate,California,92025,West,OFF-BI-10003676,Office Supplies,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",17.25,2
1998,CA-2014-131905,2014-02-06,2014-02-09,First Class,ND-18460,Neil Ducich,Corporate,Virginia,23320,South,OFF-LA-10002787,Office Supplies,Avery 480,15,4
1999,CA-2014-131905,2014-02-06,2014-02-09,First Class,ND-18460,Neil Ducich,Corporate,Virginia,23320,South,TEC-PH-10003645,Technology,Aastra 57i VoIP phone,161.61,1
2000,CA-2014-131905,2014-02-06,2014-02-09,First Class,ND-18460,Neil Ducich,Corporate,Virginia,23320,South,TEC-PH-10001615,Technology,AT&T CL82213,144.95,5
8981,CA-2014-108182,2014-02-06,2014-02-10,Second Class,DL-13315,Delfina Latchford,Consumer,Illinois,60441,Central,OFF-BI-10001196,Office Supplies,"Avery Flip-Chart Easel Binder, Black",8.95,2
850,CA-2014-107755,2014-02-07,2014-02-12,Standard Class,CK-12760,Cyma Kinney,Corporate,New Jersey,7036,East,TEC-AC-10000710,Technology,Maxell DVD-RAM Discs,115.36,7
8736,US-2014-169390,2014-02-07,2014-02-10,Second Class,CS-12250,Chris Selesnick,Corporate,New York,10024,East,OFF-ST-10001558,Office Supplies,Acco Perma 4000 Stacking Storage Drawers,64.96,4
9267,CA-2014-125759,2014-02-08,2014-02-09,First Class,NM-18445,Nathan Mautz,Home Office,Nevada,89031,West,FUR-FU-10002111,Furniture,"Master Caster Door Stop, Large Brown",14.56,2
5631,CA-2014-127614,2014-02-11,2014-02-15,Standard Class,NF-18385,Natalie Fritzler,Consumer,Virginia,23320,South,TEC-AC-10001432,Technology,Enermax Aurora Lite Keyboard,234.45,3
5632,CA-2014-127614,2014-02-11,2014-02-15,Standard Class,NF-18385,Natalie Fritzler,Consumer,Virginia,23320,South,FUR-TA-10003715,Furniture,Hon 2111 Invitation Series Corner Table,1256.22,6
5633,CA-2014-127614,2014-02-11,2014-02-15,Standard Class,NF-18385,Natalie Fritzler,Consumer,Virginia,23320,South,OFF-BI-10003291,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2
9255,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,Missouri,65203,Central,FUR-CH-10001146,Furniture,"Global Value Mid-Back Manager's Chair, Gray",60.89,1
9256,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,Missouri,65203,Central,OFF-LA-10004853,Office Supplies,Avery 483,14.94,3
9257,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,Missouri,65203,Central,OFF-BI-10004728,Office Supplies,Wilson Jones Turn Tabs Binder Tool for Ring Binders,9.64,2
9258,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,Missouri,65203,Central,FUR-FU-10002298,Furniture,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",332.94,3
9259,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,Missouri,65203,Central,OFF-BI-10004654,Office Supplies,VariCap6 Expandable Binder,51.9,3
9260,CA-2014-168368,2014-02-11,2014-02-15,Second Class,GA-14725,Guy Armstrong,Consumer,Missouri,65203,Central,OFF-ST-10002583,Office Supplies,Fellowes Neat Ideas Storage Cubes,64.96,2
457,US-2014-110674,2014-02-12,2014-02-18,Standard Class,SC-20095,Sanjit Chand,Consumer,California,94521,West,FUR-CH-10000225,Furniture,"Global Geo Office Task Chair, Gray",129.57,2
5467,CA-2014-107706,2014-02-14,2014-02-19,Second Class,ST-20530,Shui Tom,Consumer,Texas,77095,Central,OFF-PA-10000466,Office Supplies,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",16.18,3
9762,CA-2014-121762,2014-02-14,2014-02-18,Standard Class,ML-17395,Marina Lichtenstein,Corporate,Washington,98103,West,TEC-AC-10000736,Technology,Logitech G600 MMO Gaming Mouse,239.97,3
9763,CA-2014-121762,2014-02-14,2014-02-18,Standard Class,ML-17395,Marina Lichtenstein,Corporate,Washington,98103,West,OFF-AP-10001293,Office Supplies,Belkin 8 Outlet Surge Protector,81.96,2
9764,CA-2014-121762,2014-02-14,2014-02-18,Standard Class,ML-17395,Marina Lichtenstein,Corporate,Washington,98103,West,OFF-SU-10000157,Office Supplies,Compact Automatic Electric Letter Opener,238.62,2
7438,CA-2014-165568,2014-02-15,2014-02-19,Standard Class,BF-11020,Barry Französisch,Corporate,Washington,98105,West,OFF-BI-10001031,Office Supplies,Pressboard Data Binders by Wilson Jones,21.36,5
1333,CA-2014-122567,2014-02-16,2014-02-21,Standard Class,MN-17935,Michael Nguyen,Consumer,Texas,75220,Central,OFF-BI-10002012,Office Supplies,Wilson Jones Easy Flow II Sheet Lifters,1.08,3
1334,CA-2014-122567,2014-02-16,2014-02-21,Standard Class,MN-17935,Michael Nguyen,Consumer,Texas,75220,Central,OFF-AP-10001303,Office Supplies,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",7.96,2
9516,CA-2014-154165,2014-02-17,2014-02-24,Standard Class,DL-13315,Delfina Latchford,Consumer,Illinois,60653,Central,OFF-AR-10003631,Office Supplies,Staples in misc. colors,54.21,14
6082,US-2014-165589,2014-02-18,2014-02-18,Same Day,TB-21595,Troy Blackwell,Consumer,Texas,79424,Central,FUR-FU-10002396,Furniture,"DAX Copper Panel Document Frame, 5 x 7 Size",25.16,5
8223,CA-2014-152905,2014-02-18,2014-02-24,Standard Class,AB-10015,Aaron Bergman,Consumer,Texas,76017,Central,OFF-ST-10000321,Office Supplies,Akro Stacking Bins,12.62,2
4521,CA-2014-109491,2014-02-20,2014-02-26,Standard Class,LC-16930,Linda Cazamias,Corporate,Indiana,47374,Central,TEC-AC-10001284,Technology,Enermax Briskie RF Wireless Keyboard and Mouse Combo,62.31,3
4522,CA-2014-109491,2014-02-20,2014-02-26,Standard Class,LC-16930,Linda Cazamias,Corporate,Indiana,47374,Central,FUR-FU-10000221,Furniture,"Master Caster Door Stop, Brown",20.32,4
8504,CA-2014-164903,2014-02-20,2014-02-24,Standard Class,SR-20740,Steven Roelle,Home Office,California,90049,West,OFF-PA-10003363,Office Supplies,Xerox 204,12.96,2
2883,CA-2014-165540,2014-02-21,2014-02-25,Standard Class,TM-21010,Tamara Manning,Consumer,Illinois,60098,Central,OFF-BI-10004094,Office Supplies,GBC Standard Plastic Binding Systems Combs,8.85,5
7611,CA-2014-133354,2014-02-22,2014-02-24,First Class,SA-20830,Sue Ann Reed,Consumer,California,92553,West,OFF-PA-10001800,Office Supplies,Xerox 220,19.44,3
6530,CA-2014-103744,2014-02-23,2014-02-27,Standard Class,MG-17875,Michael Grace,Home Office,Texas,79907,Central,OFF-LA-10004425,Office Supplies,Staple-on labels,6.94,3
6531,CA-2014-103744,2014-02-23,2014-02-27,Standard Class,MG-17875,Michael Grace,Home Office,Texas,79907,Central,OFF-BI-10000320,Office Supplies,GBC Plastic Binding Combs,4.43,3
5512,US-2014-137680,2014-02-24,2014-03-02,Standard Class,JH-15430,Jennifer Halladay,Consumer,Oregon,97504,West,OFF-PA-10000174,Office Supplies,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",32.9,4
5513,US-2014-137680,2014-02-24,2014-03-02,Standard Class,JH-15430,Jennifer Halladay,Consumer,Oregon,97504,West,OFF-PA-10000069,Office Supplies,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",22.78,3
9464,CA-2014-156545,2014-02-27,2014-03-03,First Class,JS-16030,Joy Smith,Consumer,Ohio,43229,East,OFF-AR-10003560,Office Supplies,Zebra Zazzle Fluorescent Highlighters,19.46,4
158,CA-2014-104269,2014-03-01,2014-03-06,Second Class,DB-13060,Dave Brooks,Consumer,Washington,98115,West,FUR-CH-10004063,Furniture,Global Deluxe High-Back Manager's Chair,457.57,2
5714,US-2014-143707,2014-03-01,2014-03-05,Standard Class,HR-14770,Hallie Redmond,Home Office,New York,10035,East,TEC-PH-10003655,Technology,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3
6548,CA-2014-113880,2014-03-01,2014-03-05,Standard Class,VF-21715,Vicky Freymann,Home Office,Illinois,60126,Central,FUR-CH-10000863,Furniture,Novimex Swivel Fabric Task Chair,634.12,6
6549,CA-2014-113880,2014-03-01,2014-03-05,Standard Class,VF-21715,Vicky Freymann,Home Office,Illinois,60126,Central,OFF-PA-10003036,Office Supplies,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",17.47,3
7948,CA-2014-131009,2014-03-01,2014-03-05,Standard Class,SC-20380,Shahid Collister,Consumer,Texas,79907,Central,OFF-FA-10004395,Office Supplies,Plymouth Boxed Rubber Bands by Plymouth,18.84,5
